,0
427,341
428,342
429,341
430,340
431,341
432,342
433,344
434,343
435,340
436,341
437,342
438,343
439,342
440,341
441,341
442,344
443,343
444,342
445,341
446,341
447,343
448,345
449,343
450,341
451,340
452,342
453,344
454,341
455,341
456,340
457,341
458,342
459,341
460,340
461,340
462,341
463,343
464,342
465,340
466,340
467,342
468,342
469,342
470,340
471,340
472,341
473,342
474,342
475,341
476,341
477,342
478,343
479,342
480,340
481,341
482,342
483,343
484,342
485,340
486,340
487,342
488,342
489,341
490,340
491,341
492,343
493,344
494,343
495,340
496,340
497,342
498,343
499,341
500,340
501,340
502,342
503,343
504,342
505,340
506,340
507,341
508,342
509,342
510,341
511,341
512,341
513,342
514,341
515,340
516,340
517,341
518,342
519,341
520,339
521,340
522,341
523,342
524,341
525,340
526,340
527,342
528,342
529,341
530,340
531,340
532,341
533,342
534,341
535,340
536,339
537,341
538,342
539,342
540,340
541,339
542,341
543,342
544,340
545,340
546,340
547,342
548,342
549,340
550,339
551,339
552,342
553,342
554,342
555,340
556,341
557,342
558,342
559,341
560,340
561,340
562,342
563,343
564,342
565,340
566,341
567,343
568,344
569,342
570,340
571,341
572,343
573,344
574,343
575,341
576,341
577,343
578,344
579,342
580,340
581,341
582,342
583,343
584,341
585,340
586,340
587,341
588,341
589,340
590,339
591,340
592,341
593,341
594,340
595,339
596,340
597,342
598,343
599,341
600,340
601,340
602,342
603,342
604,341
605,340
606,339
607,340
608,341
609,340
610,339
611,341
612,342
613,341
614,339
615,339
616,341
617,344
618,344
619,341
620,339
621,341
622,342
623,343
624,342
625,341
626,341
627,342
628,342
629,341
630,340
631,340
632,341
633,342
634,340
635,340
636,342
637,344
638,343
639,340
640,339
641,340
642,341
643,342
644,340
645,339
646,340
647,341
648,342
649,340
650,339
651,340
652,342
653,342
654,340
655,340
656,341
657,342
658,341
659,340
660,340
661,341
662,342
663,342
664,340
665,339
666,339
667,341
668,342
669,340
670,339
671,339
672,341
673,340
674,339
675,341
676,342
677,342
678,341
679,340
680,339
681,341
682,342
683,342
684,341
685,340
686,341
687,342
688,342
689,342
690,340
691,341
692,341
693,342
694,341
695,340
696,342
697,341
698,341
699,340
700,340
701,341
702,343
703,342
704,340
705,339
706,340
707,342
708,342
709,341
710,340
711,340
712,342
713,344
714,342
715,341
716,341
717,342
718,341
719,341
720,340
721,341
722,343
723,344
724,342
725,341
726,341
727,343
728,343
729,342
730,341
731,342
732,343
733,342
734,342
735,341
736,341
737,342
738,342
739,341
740,340
741,340
742,342
743,342
744,341
745,339
746,340
747,341
748,341
749,340
750,339
751,341
752,343
753,343
754,341
755,340
756,341
757,342
758,341
759,340
760,339
761,340
762,342
763,342
764,341
765,340
766,341
767,342
768,342
769,340
770,341
771,343
772,342
773,342
774,340
775,340
776,341
777,343
778,342
779,341
780,340
781,342
782,344
783,343
784,340
785,339
786,340
787,341
788,342
789,340
790,340
791,341
792,341
793,342
794,341
795,339
796,340
797,341
798,341
799,339
800,339
801,339
802,342
803,342
804,340
805,340
806,341
807,342
808,342
809,341
810,341
811,342
812,342
813,342
814,341
815,340
816,340
817,342
818,343
819,342
820,340
821,341
822,343
823,343
824,341
825,341
826,341
827,343
828,343
829,342
830,341
831,342
832,342
833,342
834,340
835,340
836,341
837,342
838,342
839,341
840,339
841,340
842,342
843,343
844,341
845,339
846,341
847,342
848,343
849,342
850,341
851,341
852,342
853,341
854,340
855,340
856,341
857,342
858,342
859,341
860,340
861,340
862,342
863,342
864,341
865,340
866,342
867,343
868,343
869,342
870,339
871,341
872,342
873,341
874,340
875,340
876,341
877,342
878,342
879,340
880,340
881,342
882,343
883,342
884,340
885,341
886,342
887,343
888,341
889,340
890,339
891,341
892,343
893,341
894,339
895,338
896,340
897,341
898,341
899,340
900,340
901,341
902,342
903,342
904,340
905,339
906,340
907,342
908,342
909,340
910,339
911,341
912,344
913,343
914,343
915,341
916,341
917,342
918,342
919,341
920,341
921,343
922,343
923,342
924,341
925,341
926,343
927,343
928,342
929,341
930,340
931,343
932,344
933,344
934,340
935,340
936,341
937,342
938,341
939,340
940,339
941,340
942,342
943,341
944,340
945,339
946,341
947,342
948,341
949,339
950,339
951,341
952,343
953,343
954,341
955,340
956,341
957,343
958,342
959,340
960,341
961,341
962,342
963,342
964,341
965,341
966,342
967,344
968,343
969,341
970,340
971,342
972,343
973,342
974,340
975,340
976,341
977,342
978,342
979,339
980,340
981,342
982,343
983,342
984,340
985,340
986,340
987,341
988,341
989,339
990,339
991,341
992,342
993,341
994,340
995,340
996,341
997,341
998,340
999,339
